SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00019-d20-100mm-4-4-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 116 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.330e+00     1.429e-02  
T     =       3.704s       87.021s  

RSS   =    8.347e-03
SD    =    1.668e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     2.957e-02
    2       2.000s     8.049e-01     7.892e-01    -1.575e-02
    3       3.000s     6.369e-01     6.056e-01    -3.127e-02
    4       4.000s     5.021e-01     4.654e-01    -3.665e-02
    5       5.000s     3.658e-01     3.584e-01    -7.433e-03
    6       6.000s     2.435e-01     2.766e-01     3.311e-02
    7       7.000s     1.756e-01     2.142e-01     3.854e-02
    8       8.000s     1.526e-01     1.665e-01     1.390e-02
    9       9.000s     1.281e-01     1.300e-01     1.961e-03
   10      10.000s     9.008e-02     1.022e-01     1.207e-02
   11      11.000s     6.511e-02     8.086e-02     1.575e-02
   12      12.000s     6.143e-02     6.456e-02     3.128e-03
   13      13.000s     5.755e-02     5.209e-02    -5.461e-03
   14      14.000s     4.523e-02     4.254e-02    -2.692e-03
   15      15.000s     4.061e-02     3.521e-02    -5.394e-03
   16      16.000s     4.800e-02     2.959e-02    -1.842e-02
   17      17.000s     4.945e-02     2.526e-02    -2.418e-02
   18      18.000s     3.739e-02     2.193e-02    -1.545e-02
   19      19.000s     2.668e-02     1.936e-02    -7.319e-03
   20      20.000s     2.591e-02     1.737e-02    -8.543e-03
   21      21.000s     2.410e-02     1.581e-02    -8.284e-03
   22      22.000s     1.464e-02     1.460e-02    -3.500e-05
   23      23.000s     7.863e-03     1.364e-02     5.782e-03
   24      24.000s     1.019e-02     1.289e-02     2.692e-03
   25      25.000s     1.212e-02     1.228e-02     1.592e-04
   26      26.000s     6.901e-03     1.179e-02     4.888e-03
   27      27.000s     2.441e-03     1.139e-02     8.945e-03
   28      28.000s     4.885e-03     1.105e-02     6.166e-03
   29      29.000s     7.221e-03     1.077e-02     3.548e-03
   30      30.000s     3.707e-03     1.053e-02     6.820e-03

============================================================

