SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00133_100M_D2O_3-11-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 141 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.448e+00     6.155e-03  
T     =       3.125s      200.786s  

RSS   =    1.913e-02
SD    =    2.525e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.058e+00     5.771e-02
    2       2.000s     8.387e-01     7.697e-01    -6.899e-02
    3       3.000s     6.244e-01     5.606e-01    -6.381e-02
    4       4.000s     4.077e-01     4.087e-01     1.013e-03
    5       5.000s     2.499e-01     2.984e-01     4.854e-02
    6       6.000s     1.748e-01     2.183e-01     4.346e-02
    7       7.000s     1.459e-01     1.601e-01     1.419e-02
    8       8.000s     1.148e-01     1.179e-01     3.025e-03
    9       9.000s     7.604e-02     8.718e-02     1.115e-02
   10      10.000s     5.178e-02     6.489e-02     1.311e-02
   11      11.000s     4.521e-02     4.870e-02     3.481e-03
   12      12.000s     3.898e-02     3.693e-02    -2.057e-03
   13      13.000s     2.870e-02     2.837e-02    -3.312e-04
   14      14.000s     2.658e-02     2.215e-02    -4.424e-03
   15      15.000s     3.420e-02     1.763e-02    -1.657e-02
   16      16.000s     3.785e-02     1.434e-02    -2.351e-02
   17      17.000s     3.205e-02     1.194e-02    -2.011e-02
   18      18.000s     2.601e-02     1.019e-02    -1.582e-02
   19      19.000s     2.417e-02     8.913e-03    -1.526e-02
   20      20.000s     1.948e-02     7.978e-03    -1.150e-02
   21      21.000s     9.723e-03     7.291e-03    -2.432e-03
   22      22.000s     3.317e-03     6.785e-03     3.468e-03
   23      23.000s     4.034e-03     6.410e-03     2.376e-03
   24      24.000s     4.624e-03     6.130e-03     1.507e-03
   25      25.000s     6.373e-04     5.920e-03     5.283e-03
   26      26.000s    -2.419e-03     5.760e-03     8.179e-03
   27      27.000s    -8.039e-04     5.636e-03     6.440e-03
   28      28.000s     5.022e-04     5.539e-03     5.037e-03
   29      29.000s    -2.049e-03     5.462e-03     7.511e-03
   30      30.000s    -4.045e-03     5.398e-03     9.444e-03

============================================================

