SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_01493-d2o-10-5-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 402 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.437e+00     1.803e-02  
T     =       2.916s       44.323s  

RSS   =    8.000e-03
SD    =    1.633e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.037e+00     3.736e-02
    2       2.000s     7.961e-01     7.409e-01    -5.516e-02
    3       3.000s     5.542e-01     5.304e-01    -2.379e-02
    4       4.000s     3.739e-01     3.809e-01     7.074e-03
    5       5.000s     2.605e-01     2.748e-01     1.428e-02
    6       6.000s     1.808e-01     1.993e-01     1.851e-02
    7       7.000s     1.237e-01     1.457e-01     2.198e-02
    8       8.000s     9.196e-02     1.075e-01     1.554e-02
    9       9.000s     7.508e-02     8.032e-02     5.246e-03
   10      10.000s     5.851e-02     6.095e-02     2.443e-03
   11      11.000s     4.328e-02     4.711e-02     3.832e-03
   12      12.000s     3.676e-02     3.720e-02     4.434e-04
   13      13.000s     3.570e-02     3.009e-02    -5.606e-03
   14      14.000s     3.299e-02     2.496e-02    -8.032e-03
   15      15.000s     3.095e-02     2.124e-02    -9.712e-03
   16      16.000s     3.417e-02     1.852e-02    -1.565e-02
   17      17.000s     3.744e-02     1.651e-02    -2.093e-02
   18      18.000s     3.304e-02     1.501e-02    -1.803e-02
   19      19.000s     2.377e-02     1.387e-02    -9.895e-03
   20      20.000s     1.770e-02     1.299e-02    -4.706e-03
   21      21.000s     1.516e-02     1.230e-02    -2.858e-03
   22      22.000s     1.109e-02     1.174e-02     6.433e-04
   23      23.000s     5.885e-03     1.127e-02     5.387e-03
   24      24.000s     3.931e-03     1.088e-02     6.945e-03
   25      25.000s     4.724e-03     1.053e-02     5.807e-03
   26      26.000s     4.188e-03     1.022e-02     6.035e-03
   27      27.000s     2.560e-03     9.944e-03     7.384e-03
   28      28.000s     3.033e-03     9.685e-03     6.652e-03
   29      29.000s     4.632e-03     9.443e-03     4.811e-03
   30      30.000s     3.777e-03     9.214e-03     5.437e-03

============================================================

