SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_01493-d2o-10-5-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 556 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    6.823e-01     7.931e-01  
T     =       1.394s        5.766s  

RSS   =    4.041e-03
SD    =    1.161e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.997e-01    -3.202e-04
    2       2.000s     7.294e-01     7.230e-01    -6.358e-03
    3       3.000s     5.285e-01     5.506e-01     2.212e-02
    4       4.000s     4.341e-01     4.350e-01     8.803e-04
    5       5.000s     3.789e-01     3.521e-01    -2.686e-02
    6       6.000s     3.104e-01     2.893e-01    -2.104e-02
    7       7.000s     2.396e-01     2.400e-01     4.567e-04
    8       8.000s     1.900e-01     2.002e-01     1.023e-02
    9       9.000s     1.560e-01     1.676e-01     1.157e-02
   10      10.000s     1.241e-01     1.405e-01     1.643e-02
   11      11.000s     9.776e-02     1.179e-01     2.019e-02
   12      12.000s     8.370e-02     9.907e-02     1.538e-02
   13      13.000s     7.588e-02     8.325e-02     7.375e-03
   14      14.000s     6.776e-02     6.997e-02     2.216e-03
   15      15.000s     6.323e-02     5.882e-02    -4.413e-03
   16      16.000s     6.427e-02     4.945e-02    -1.482e-02
   17      17.000s     6.194e-02     4.157e-02    -2.036e-02
   18      18.000s     5.022e-02     3.495e-02    -1.526e-02
   19      19.000s     3.669e-02     2.939e-02    -7.304e-03
   20      20.000s     3.013e-02     2.471e-02    -5.424e-03
   21      21.000s     2.770e-02     2.077e-02    -6.931e-03
   22      22.000s     2.313e-02     1.746e-02    -5.666e-03
   23      23.000s     1.800e-02     1.468e-02    -3.321e-03
   24      24.000s     1.620e-02     1.235e-02    -3.850e-03
   25      25.000s     1.514e-02     1.038e-02    -4.756e-03
   26      26.000s     1.129e-02     8.727e-03    -2.567e-03
   27      27.000s     7.684e-03     7.337e-03    -3.469e-04
   28      28.000s     8.052e-03     6.169e-03    -1.883e-03
   29      29.000s     9.368e-03     5.186e-03    -4.181e-03
   30      30.000s     7.373e-03     4.361e-03    -3.012e-03

============================================================

