SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00110-d2o-10-5-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.312e+00    -5.920e-04  
T     =       4.076s        3.025s  

RSS   =    2.253e-02
SD    =    2.740e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.026e+00     2.641e-02
    2       2.000s     8.444e-01     8.031e-01    -4.122e-02
    3       3.000s     6.579e-01     6.284e-01    -2.952e-02
    4       4.000s     4.941e-01     4.917e-01    -2.406e-03
    5       5.000s     3.692e-01     3.847e-01     1.557e-02
    6       6.000s     2.733e-01     3.010e-01     2.778e-02
    7       7.000s     1.991e-01     2.356e-01     3.647e-02
    8       8.000s     1.486e-01     1.843e-01     3.575e-02
    9       9.000s     1.198e-01     1.442e-01     2.446e-02
   10      10.000s     1.025e-01     1.128e-01     1.032e-02
   11      11.000s     8.895e-02     8.829e-02    -6.552e-04
   12      12.000s     7.922e-02     6.909e-02    -1.014e-02
   13      13.000s     7.490e-02     5.406e-02    -2.084e-02
   14      14.000s     7.312e-02     4.230e-02    -3.082e-02
   15      15.000s     7.039e-02     3.309e-02    -3.730e-02
   16      16.000s     6.687e-02     2.589e-02    -4.097e-02
   17      17.000s     6.355e-02     2.026e-02    -4.329e-02
   18      18.000s     5.899e-02     1.585e-02    -4.314e-02
   19      19.000s     5.171e-02     1.240e-02    -3.931e-02
   20      20.000s     4.340e-02     9.706e-03    -3.369e-02
   21      21.000s     3.682e-02     7.594e-03    -2.922e-02
   22      22.000s     3.227e-02     5.942e-03    -2.633e-02
   23      23.000s     2.824e-02     4.649e-03    -2.359e-02
   24      24.000s     2.428e-02     3.638e-03    -2.064e-02
   25      25.000s     2.114e-02     2.846e-03    -1.829e-02
   26      26.000s     1.905e-02     2.227e-03    -1.683e-02
   27      27.000s     1.746e-02     1.743e-03    -1.572e-02
   28      28.000s     1.600e-02     1.363e-03    -1.464e-02
   29      29.000s     1.465e-02     1.067e-03    -1.359e-02
   30      30.000s     1.342e-02     8.347e-04    -1.259e-02

============================================================

