SIMFIT RESULTS
==============

Dataset : /banyo2/data/mfjofre/nmr/cq_00110-d2o-10-5-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 213 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.164e+00     1.214e-01  
T     =       4.157s       19.350s  

RSS   =    5.504e-03
SD    =    1.354e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.030e+00     3.044e-02
    2       2.000s     8.512e-01     8.290e-01    -2.226e-02
    3       3.000s     7.012e-01     6.696e-01    -3.156e-02
    4       4.000s     5.615e-01     5.435e-01    -1.807e-02
    5       5.000s     4.414e-01     4.434e-01     1.994e-03
    6       6.000s     3.486e-01     3.639e-01     1.537e-02
    7       7.000s     2.817e-01     3.007e-01     1.895e-02
    8       8.000s     2.325e-01     2.502e-01     1.773e-02
    9       9.000s     1.944e-01     2.098e-01     1.543e-02
   10      10.000s     1.656e-01     1.774e-01     1.178e-02
   11      11.000s     1.445e-01     1.513e-01     6.865e-03
   12      12.000s     1.280e-01     1.302e-01     2.167e-03
   13      13.000s     1.155e-01     1.130e-01    -2.488e-03
   14      14.000s     1.076e-01     9.901e-02    -8.595e-03
   15      15.000s     1.026e-01     8.746e-02    -1.511e-02
   16      16.000s     9.631e-02     7.790e-02    -1.841e-02
   17      17.000s     8.669e-02     6.992e-02    -1.677e-02
   18      18.000s     7.555e-02     6.321e-02    -1.234e-02
   19      19.000s     6.553e-02     5.752e-02    -8.006e-03
   20      20.000s     5.722e-02     5.266e-02    -4.559e-03
   21      21.000s     5.003e-02     4.846e-02    -1.576e-03
   22      22.000s     4.388e-02     4.480e-02     9.189e-04
   23      23.000s     3.893e-02     4.158e-02     2.655e-03
   24      24.000s     3.496e-02     3.874e-02     3.774e-03
   25      25.000s     3.168e-02     3.619e-02     4.517e-03
   26      26.000s     2.892e-02     3.391e-02     4.988e-03
   27      27.000s     2.634e-02     3.183e-02     5.488e-03
   28      28.000s     2.360e-02     2.994e-02     6.339e-03
   29      29.000s     2.095e-02     2.821e-02     7.253e-03
   30      30.000s     1.899e-02     2.661e-02     7.618e-03

============================================================

