SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00029-100mm-d2o-12-7-10/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 408 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.381e+00     1.076e-01  
T     =       2.420s       14.618s  

RSS   =    2.431e-03
SD    =    9.002e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.014e+00     1.371e-02
    2       2.000s     7.254e-01     6.979e-01    -2.749e-02
    3       3.000s     4.868e-01     4.872e-01     4.626e-04
    4       4.000s     3.381e-01     3.462e-01     8.036e-03
    5       5.000s     2.502e-01     2.513e-01     1.068e-03
    6       6.000s     1.840e-01     1.870e-01     2.995e-03
    7       7.000s     1.338e-01     1.432e-01     9.374e-03
    8       8.000s     1.046e-01     1.129e-01     8.242e-03
    9       9.000s     8.799e-02     9.161e-02     3.620e-03
   10      10.000s     7.291e-02     7.643e-02     3.525e-03
   11      11.000s     6.074e-02     6.535e-02     4.608e-03
   12      12.000s     5.620e-02     5.704e-02     8.395e-04
   13      13.000s     5.589e-02     5.062e-02    -5.262e-03
   14      14.000s     5.477e-02     4.553e-02    -9.237e-03
   15      15.000s     5.397e-02     4.137e-02    -1.261e-02
   16      16.000s     5.452e-02     3.787e-02    -1.665e-02
   17      17.000s     5.158e-02     3.486e-02    -1.673e-02
   18      18.000s     4.215e-02     3.222e-02    -9.933e-03
   19      19.000s     3.152e-02     2.987e-02    -1.655e-03
   20      20.000s     2.579e-02     2.775e-02     1.955e-03
   21      21.000s     2.343e-02     2.581e-02     2.385e-03
   22      22.000s     1.998e-02     2.404e-02     4.063e-03
   23      23.000s     1.590e-02     2.241e-02     6.512e-03
   24      24.000s     1.408e-02     2.090e-02     6.824e-03
   25      25.000s     1.381e-02     1.950e-02     5.695e-03
   26      26.000s     1.267e-02     1.820e-02     5.527e-03
   27      27.000s     1.122e-02     1.699e-02     5.766e-03
   28      28.000s     1.101e-02     1.586e-02     4.853e-03
   29      29.000s     1.072e-02     1.481e-02     4.091e-03
   30      30.000s     8.547e-03     1.383e-02     5.278e-03

============================================================

