SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00029-100mm-d2o-12-7-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 473 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    8.114e-01     4.898e-01  
T     =       2.864s        7.923s  

RSS   =    6.772e-04
SD    =    4.751e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.004e+00     3.968e-03
    2       2.000s     7.912e-01     7.841e-01    -7.059e-03
    3       3.000s     6.206e-01     6.201e-01    -5.362e-04
    4       4.000s     4.968e-01     4.964e-01    -4.345e-04
    5       5.000s     3.994e-01     4.022e-01     2.724e-03
    6       6.000s     3.237e-01     3.295e-01     5.851e-03
    7       7.000s     2.718e-01     2.729e-01     1.037e-03
    8       8.000s     2.336e-01     2.281e-01    -5.449e-03
    9       9.000s     1.962e-01     1.923e-01    -3.884e-03
   10      10.000s     1.608e-01     1.633e-01     2.570e-03
   11      11.000s     1.341e-01     1.396e-01     5.548e-03
   12      12.000s     1.150e-01     1.200e-01     5.031e-03
   13      13.000s     9.909e-02     1.036e-01     4.505e-03
   14      14.000s     8.809e-02     8.979e-02     1.697e-03
   15      15.000s     8.372e-02     7.806e-02    -5.656e-03
   16      16.000s     7.996e-02     6.805e-02    -1.191e-02
   17      17.000s     7.026e-02     5.944e-02    -1.082e-02
   18      18.000s     5.732e-02     5.202e-02    -5.300e-03
   19      19.000s     4.753e-02     4.558e-02    -1.944e-03
   20      20.000s     4.078e-02     3.999e-02    -7.930e-04
   21      21.000s     3.338e-02     3.512e-02     1.731e-03
   22      22.000s     2.642e-02     3.086e-02     4.440e-03
   23      23.000s     2.326e-02     2.713e-02     3.875e-03
   24      24.000s     2.215e-02     2.387e-02     1.716e-03
   25      25.000s     1.885e-02     2.101e-02     2.152e-03
   26      26.000s     1.416e-02     1.849e-02     4.337e-03
   27      27.000s     1.194e-02     1.628e-02     4.347e-03
   28      28.000s     1.176e-02     1.434e-02     2.578e-03
   29      29.000s     1.002e-02     1.263e-02     2.613e-03
   30      30.000s     6.890e-03     1.113e-02     4.239e-03

============================================================

