SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/CQ_00135-D2O-100mm-1-10-11/1/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 2871 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.961e+01    -2.837e+01  
T     =       6.996s        7.067s  

RSS   =    7.808e-03
SD    =    1.613e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.038e+00     3.788e-02
    2       2.000s     8.740e-01     8.687e-01    -5.275e-03
    3       3.000s     7.523e-01     7.262e-01    -2.612e-02
    4       4.000s     6.374e-01     6.061e-01    -3.130e-02
    5       5.000s     5.317e-01     5.052e-01    -2.652e-02
    6       6.000s     4.359e-01     4.203e-01    -1.554e-02
    7       7.000s     3.491e-01     3.491e-01    -3.534e-05
    8       8.000s     2.727e-01     2.894e-01     1.668e-02
    9       9.000s     2.108e-01     2.393e-01     2.851e-02
   10      10.000s     1.663e-01     1.975e-01     3.120e-02
   11      11.000s     1.366e-01     1.625e-01     2.597e-02
   12      12.000s     1.163e-01     1.334e-01     1.712e-02
   13      13.000s     1.012e-01     1.091e-01     7.914e-03
   14      14.000s     8.884e-02     8.890e-02     6.387e-05
   15      15.000s     7.710e-02     7.215e-02    -4.952e-03
   16      16.000s     6.485e-02     5.827e-02    -6.574e-03
   17      17.000s     5.311e-02     4.681e-02    -6.302e-03
   18      18.000s     4.361e-02     3.736e-02    -6.248e-03
   19      19.000s     3.646e-02     2.959e-02    -6.867e-03
   20      20.000s     3.052e-02     2.323e-02    -7.294e-03
   21      21.000s     2.529e-02     1.803e-02    -7.256e-03
   22      22.000s     2.106e-02     1.381e-02    -7.257e-03
   23      23.000s     1.770e-02     1.038e-02    -7.314e-03
   24      24.000s     1.457e-02     7.626e-03    -6.939e-03
   25      25.000s     1.164e-02     5.417e-03    -6.226e-03
   26      26.000s     9.469e-03     3.659e-03    -5.809e-03
   27      27.000s     8.051e-03     2.272e-03    -5.778e-03
   28      28.000s     6.817e-03     1.189e-03    -5.628e-03
   29      29.000s     5.590e-03     3.530e-04    -5.237e-03
   30      30.000s     4.702e-03    -2.823e-04    -4.985e-03

============================================================

