SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/CQ_00135-D2O-100mm-1-10-11/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.526e+02    -1.514e+02  
T     =      13.335s       13.377s  

RSS   =    7.411e-03
SD    =    1.572e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00     3.949e-02
    2       2.000s     9.156e-01     9.332e-01     1.761e-02
    3       3.000s     8.494e-01     8.368e-01    -1.266e-02
    4       4.000s     7.847e-01     7.494e-01    -3.528e-02
    5       5.000s     7.089e-01     6.703e-01    -3.856e-02
    6       6.000s     6.249e-01     5.987e-01    -2.614e-02
    7       7.000s     5.441e-01     5.340e-01    -1.012e-02
    8       8.000s     4.745e-01     4.755e-01     9.604e-04
    9       9.000s     4.160e-01     4.226e-01     6.559e-03
   10      10.000s     3.649e-01     3.749e-01     9.945e-03
   11      11.000s     3.191e-01     3.319e-01     1.273e-02
   12      12.000s     2.792e-01     2.931e-01     1.387e-02
   13      13.000s     2.458e-01     2.582e-01     1.243e-02
   14      14.000s     2.173e-01     2.268e-01     9.488e-03
   15      15.000s     1.914e-01     1.986e-01     7.209e-03
   16      16.000s     1.666e-01     1.733e-01     6.704e-03
   17      17.000s     1.431e-01     1.506e-01     7.485e-03
   18      18.000s     1.219e-01     1.303e-01     8.391e-03
   19      19.000s     1.037e-01     1.121e-01     8.425e-03
   20      20.000s     8.878e-02     9.587e-02     7.081e-03
   21      21.000s     7.676e-02     8.139e-02     4.630e-03
   22      22.000s     6.648e-02     6.851e-02     2.034e-03
   23      23.000s     5.704e-02     5.706e-02     2.438e-05
   24      24.000s     4.858e-02     4.691e-02    -1.671e-03
   25      25.000s     4.171e-02     3.792e-02    -3.787e-03
   26      26.000s     3.643e-02     2.999e-02    -6.435e-03
   27      27.000s     3.213e-02     2.300e-02    -9.122e-03
   28      28.000s     2.849e-02     1.687e-02    -1.162e-02
   29      29.000s     2.563e-02     1.150e-02    -1.412e-02
   30      30.000s     2.343e-02     6.820e-03    -1.661e-02

============================================================

