SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/bmse000051-d2o-satd-7-18-11-pH-11.15/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 332 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.385e+00     2.878e-02  
T     =       3.173s       39.851s  

RSS   =    8.701e-03
SD    =    1.703e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.039e+00     3.899e-02
    2       2.000s     8.106e-01     7.650e-01    -4.558e-02
    3       3.000s     6.011e-01     5.650e-01    -3.619e-02
    4       4.000s     4.239e-01     4.188e-01    -5.067e-03
    5       5.000s     2.952e-01     3.120e-01     1.675e-02
    6       6.000s     2.102e-01     2.339e-01     2.366e-02
    7       7.000s     1.558e-01     1.767e-01     2.094e-02
    8       8.000s     1.187e-01     1.349e-01     1.615e-02
    9       9.000s     9.138e-02     1.042e-01     1.283e-02
   10      10.000s     7.221e-02     8.168e-02     9.471e-03
   11      11.000s     6.051e-02     6.510e-02     4.595e-03
   12      12.000s     5.316e-02     5.287e-02    -2.893e-04
   13      13.000s     4.791e-02     4.381e-02    -4.101e-03
   14      14.000s     4.566e-02     3.706e-02    -8.594e-03
   15      15.000s     4.678e-02     3.202e-02    -1.476e-02
   16      16.000s     4.800e-02     2.821e-02    -1.979e-02
   17      17.000s     4.571e-02     2.532e-02    -2.039e-02
   18      18.000s     4.005e-02     2.309e-02    -1.696e-02
   19      19.000s     3.350e-02     2.135e-02    -1.216e-02
   20      20.000s     2.725e-02     1.996e-02    -7.293e-03
   21      21.000s     2.131e-02     1.884e-02    -2.469e-03
   22      22.000s     1.648e-02     1.792e-02     1.444e-03
   23      23.000s     1.362e-02     1.715e-02     3.530e-03
   24      24.000s     1.196e-02     1.648e-02     4.517e-03
   25      25.000s     1.022e-02     1.590e-02     5.677e-03
   26      26.000s     8.527e-03     1.537e-02     6.846e-03
   27      27.000s     7.678e-03     1.490e-02     7.220e-03
   28      28.000s     7.289e-03     1.446e-02     7.171e-03
   29      29.000s     6.477e-03     1.405e-02     7.574e-03
   30      30.000s     5.525e-03     1.367e-02     8.142e-03

============================================================

