SIMFIT RESULTS
==============

Dataset : /opt/topspin216/data/mfjofre/nmr/cq_00026-100mm-d2o-12-16-10/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.205e+00    -1.060e-01  
T     =       9.509s    545129709480689.812s  

RSS   =    2.432e-03
SD    =    9.004e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.786e-01    -2.136e-02
    2       2.000s     8.643e-01     8.704e-01     6.103e-03
    3       3.000s     7.564e-01     7.729e-01     1.653e-02
    4       4.000s     6.823e-01     6.852e-01     2.848e-03
    5       5.000s     6.132e-01     6.062e-01    -7.009e-03
    6       6.000s     5.370e-01     5.351e-01    -1.852e-03
    7       7.000s     4.643e-01     4.711e-01     6.791e-03
    8       8.000s     4.019e-01     4.135e-01     1.158e-02
    9       9.000s     3.469e-01     3.617e-01     1.472e-02
   10      10.000s     3.015e-01     3.150e-01     1.353e-02
   11      11.000s     2.702e-01     2.730e-01     2.739e-03
   12      12.000s     2.465e-01     2.351e-01    -1.139e-02
   13      13.000s     2.175e-01     2.011e-01    -1.643e-02
   14      14.000s     1.824e-01     1.704e-01    -1.191e-02
   15      15.000s     1.510e-01     1.429e-01    -8.147e-03
   16      16.000s     1.268e-01     1.180e-01    -8.820e-03
   17      17.000s     1.036e-01     9.566e-02    -7.936e-03
   18      18.000s     7.895e-02     7.554e-02    -3.417e-03
   19      19.000s     5.840e-02     5.742e-02    -9.750e-04
   20      20.000s     4.417e-02     4.111e-02    -3.061e-03
   21      21.000s     3.092e-02     2.643e-02    -4.485e-03
   22      22.000s     1.458e-02     1.322e-02    -1.368e-03
   23      23.000s    -2.325e-03     1.321e-03     3.646e-03
   24      24.000s    -1.638e-02    -9.388e-03     6.989e-03
   25      25.000s    -2.737e-02    -1.903e-02     8.340e-03
   26      26.000s    -3.559e-02    -2.770e-02     7.885e-03
   27      27.000s    -4.069e-02    -3.552e-02     5.180e-03
   28      28.000s    -4.432e-02    -4.255e-02     1.777e-03
   29      29.000s    -4.900e-02    -4.888e-02     1.211e-04
   30      30.000s    -5.395e-02    -5.457e-02    -6.219e-04

============================================================

